[    1675ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/react-dom/cjs/react-dom.development.js:38559
[    2773ms] [LOG] APS: 63 | FPS: 63 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    2790ms] [LOG] APS: 64 | FPS: 64 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    3773ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    3791ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    4773ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    4791ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    5772ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    5791ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    6773ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    6790ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    7772ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    7791ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    8773ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    8790ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    9772ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    9789ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   10772ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   10789ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   11773ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   11790ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
